N      ['d7', 'd8', 'd17', 'd77']        Energy            Comment
0	[69.41, 246.51, 72.52, 122.3]	-140.797828926413	input geometry
1	[-45.0, 78.0, -16.0, -57.0]		Rejected due to clashes.
2	[-23.0, -177.0, 97.0, 113.0]		Rejected due to clashes.
3	[23.0, 127.0, -174.0, 43.0]		Rejected due to clashes.
4	[147.0, -99.0, 13.0, -6.0]		Rejected due to clashes.
5	[-27.0, 38.0, -58.0, 61.0]		Rejected due to clashes.
6	[-172.0, -21.0, -58.0, -147.0]		Rejected due to clashes.
7	[-137.0, -37.0, -150.0, 25.0]		Rejected due to clashes.
8	[34.0, 122.0, -144.0, -14.0]		Rejected due to clashes.
9	[-172.0, 178.0, 125.0, 55.0]		Rejected due to clashes.
10	[39.0, -1.0, 5.0, 38.0]		Rejected due to clashes.
11	[112.0, -50.0, 177.0, 10.0]		Rejected due to clashes.
12	[130.0, 8.0, 171.0, 5.0]		Rejected due to clashes.
13	[166.0, 56.0, 178.0, -164.0]		Rejected due to clashes.
14	[-163.0, 56.0, 74.0, -134.0]		Rejected due to clashes.
15	[154.0, 37.0, -48.0, 153.0]		Rejected due to clashes.
16	[142.0, 2.0, -50.0, 23.0]		Rejected due to clashes.
17	[-82.0, 10.0, 57.0, -138.0]		Rejected due to clashes.
18	[-51.0, -98.0, -30.0, 46.0]		Rejected due to clashes.
19	[-79.0, 23.0, 151.0, 117.0]		Rejected due to clashes.
20	[109.0, -64.0, -179.0, 118.0]		Rejected due to clashes.
21	[83.0, -158.0, 84.0, 157.0]	-140.718692920301
22	[28.0, 149.0, 168.0, -171.0]		Rejected due to clashes.
23	[90.0, 29.0, -139.0, 177.0]	-140.5432630058
24	[-81.0, 6.0, 107.0, 71.0]		Rejected due to clashes.
25	[-178.0, 7.0, -58.0, -175.0]		Rejected due to clashes.
26	[-16.0, -69.0, -61.0, -112.0]		Rejected due to clashes.
27	[89.0, 137.0, -103.0, 101.0]	-140.687146764643
28	[20.0, -62.0, -99.0, -119.0]		Rejected due to clashes.
29	[60.0, 166.0, 110.0, -141.0]		Rejected due to clashes.
30	[-10.0, -32.0, 23.0, -150.0]		Rejected due to clashes.
31	[-145.0, 130.0, -178.0, 67.0]		Rejected due to clashes.
32	[60.0, -170.0, 127.0, -59.0]	-140.566188718463
33	[-19.0, 4.0, -174.0, -77.0]		Rejected due to clashes.
34	[144.0, -140.0, -160.0, 56.0]	-140.438982392895
35	[-109.0, -86.0, 179.0, -69.0]		Rejected due to clashes.
36	[-151.0, -101.0, 36.0, 31.0]	-140.756604468761
37	[-94.0, -137.0, -138.0, 85.0]		Rejected due to clashes.
38	[113.0, 102.0, -96.0, -108.0]	-140.769429361773
39	[-94.0, -124.0, 115.0, -139.0]		Rejected due to clashes.
40	[-11.0, -39.0, -110.0, 29.0]		Rejected due to clashes.
41	[-51.0, -21.0, 33.0, 44.0]		Rejected due to clashes.
