N      ['d7', 'd8', 'd17', 'd65']        Energy            Comment
0	[84.15, 265.1, 62.21, 101.5]	-124.326193369883	input geometry
1	[146.0, -46.0, -152.0, -45.0]	-124.297129071354
2	[1.0, -4.0, 42.0, 162.0]		Rejected due to clashes.
3	[-72.0, -142.0, -57.0, -175.0]	-124.272181690994
4	[67.0, -8.0, 152.0, -130.0]		Rejected due to clashes.
5	[23.0, 103.0, -179.0, -16.0]		Rejected due to clashes.
6	[118.0, -102.0, 12.0, 72.0]	-124.309268023409
7	[-91.0, 109.0, 2.0, 145.0]	-124.268342920026
8	[112.0, 100.0, -124.0, -135.0]	-124.289660971088
9	[-106.0, 168.0, -7.0, -108.0]		Rejected due to clashes.
10	[85.0, 106.0, 96.0, -75.0]	-124.312374497743
11	[113.0, 20.0, 178.0, -154.0]	-124.277348195643
12	[-3.0, 120.0, 66.0, -32.0]	-124.110347279617
13	[-175.0, -4.0, -36.0, -53.0]		Rejected due to clashes.
14	[-50.0, -70.0, 133.0, -50.0]	-124.190326690734
15	[170.0, 49.0, -36.0, 162.0]	-124.164081668459
16	[-15.0, 16.0, 105.0, -33.0]		Rejected due to clashes.
17	[75.0, 100.0, 91.0, -35.0]	-124.216213684047
18	[-21.0, 134.0, 30.0, -70.0]	-124.239344991811
19	[30.0, 178.0, -139.0, 73.0]		Rejected due to clashes.
20	[-38.0, -153.0, 67.0, 66.0]		Rejected due to clashes.
21	[16.0, 26.0, 114.0, 154.0]		Rejected due to clashes.
22	[-139.0, 100.0, 4.0, 172.0]	-124.280327024324
23	[-10.0, -43.0, -28.0, -100.0]	-123.779456298339	Rejected due to high energy.
24	[14.0, 104.0, 18.0, -22.0]	-124.143157790694	Rejected due to high energy.
25	[-155.0, -9.0, -95.0, -99.0]		Rejected due to clashes.
26	[-50.0, 71.0, -13.0, -50.0]	-124.074240721943	Rejected due to high energy.
27	[-50.0, -107.0, 95.0, -147.0]		Rejected due to clashes.
28	[-48.0, -124.0, 30.0, -30.0]		Rejected due to clashes.
29	[-139.0, -120.0, -80.0, 55.0]		Rejected due to clashes.
30	[-147.0, 168.0, 9.0, 76.0]	-124.245051370358
31	[52.0, -83.0, -79.0, -149.0]	-124.26444166629
32	[-28.0, 28.0, -97.0, -115.0]		Rejected due to clashes.
33	[145.0, 162.0, 168.0, -61.0]	-124.250361391889	Rejected due to high energy.
34	[89.0, -36.0, 13.0, -123.0]		Rejected due to clashes.
35	[-135.0, -79.0, -61.0, 175.0]	-123.993933872351	Rejected due to high energy.
36	[-76.0, -152.0, -173.0, 128.0]		Rejected due to clashes.
37	[-27.0, -92.0, -87.0, -34.0]	-124.204636814357	Rejected due to high energy.
38	[12.0, -79.0, -85.0, -73.0]	-124.067575474471	Rejected due to high energy.
39	[-86.0, 166.0, -48.0, 173.0]		Rejected due to clashes.
40	[-164.0, -150.0, -77.0, -137.0]		Rejected due to clashes.
41	[-47.0, 76.0, -178.0, 117.0]	-124.0026720526	Rejected due to high energy.
42	[-174.0, -157.0, 92.0, -147.0]		Rejected due to clashes.
43	[13.0, 68.0, 50.0, -150.0]	-124.169646223181	Rejected due to high energy.
44	[140.0, -137.0, 20.0, 17.0]	-124.302596838515
45	[-76.0, 76.0, 36.0, -95.0]	-124.281791054865
46	[-180.0, 99.0, -177.0, -133.0]	-124.248716749798	Rejected due to high energy.
47	[70.0, 40.0, 95.0, -167.0]	-123.940516680028	Rejected due to high energy.
48	[49.0, -174.0, -138.0, -160.0]	-124.122288191961	Rejected due to high energy.
49	[-170.0, -109.0, -98.0, 140.0]		Rejected due to clashes.
50	[2.0, 96.0, 135.0, 50.0]		Rejected due to clashes.
51	[-70.0, -85.0, -131.0, 72.0]		Rejected due to clashes.
52	[95.0, -53.0, -25.0, 144.0]	-124.056055536585	Rejected due to high energy.
