Time	T° 365,445	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:06	30	3859	2263	2051	2287	2258	2276	2245	2401	2287	2014	2251	2250	2288	2252	2246	2273	2261	2327	2298	2292	2244	2316	2214	2247	2264	2273	2275	2285	2298	2291	4061	2338	2314	2279	2260	2260	2255	2322	2305	2294	2295	2347	2193	2340	2295	2297	2196	2261	2282	2235	2262	2295	2239	2327	2285	2321	2273	2302	2238	2239	2176	2268	2269	2241	2277	2284	2296	2292	2265	2259	2219	2252	2077	2209	2210	2269	2245	2264	2236	2280	2272	2264	2213	2224	2217	2245	2210	2241	2241	2267	2213	2223	2229	2207	2216	2187
0:00:27	30	4484	2279	2038	2297	2258	2296	2256	2445	2300	2021	2257	2260	2224	2229	2214	2289	2272	2324	2304	2290	2255	2342	2218	2251	2194	2268	2258	2285	2289	2309	4423	2360	2344	2269	2274	2268	2180	2293	2303	2279	2301	2359	2215	2341	2311	2309	2219	2278	2230	2219	2243	2321	2266	2347	2295	2323	2280	2316	2250	2253	2169	2247	2253	2236	2280	2300	2284	2291	2260	2270	2237	2257	2033	2172	2179	2259	2246	2272	2241	2288	2304	2278	2218	2247	2168	2172	2175	2218	2235	2253	2229	2237	2240	2202	2251	2196
0:00:48	30	5062	2293	2044	2309	2272	2305	2276	2492	2300	2033	2278	2270	2230	2233	2229	2298	2288	2340	2310	2318	2268	2352	2230	2264	2215	2259	2259	2301	2305	2317	4701	2354	2378	2295	2268	2278	2211	2294	2326	2307	2308	2354	2232	2345	2305	2326	2230	2302	2232	2239	2229	2335	2265	2342	2308	2336	2294	2328	2260	2254	2173	2239	2259	2259	2292	2305	2281	2311	2275	2277	2236	2264	2037	2184	2198	2272	2260	2283	2260	2287	2311	2279	2228	2252	2192	2182	2196	2223	2244	2276	2241	2249	2247	2198	2262	2223
0:01:09	30	5627	2306	2046	2314	2288	2313	2274	2531	2310	2036	2268	2296	2260	2242	2231	2307	2311	2337	2320	2333	2282	2361	2229	2276	2232	2274	2274	2317	2318	2319	4943	2379	2396	2294	2280	2288	2223	2311	2362	2303	2316	2366	2258	2365	2331	2320	2235	2300	2234	2252	2249	2349	2281	2357	2320	2339	2286	2336	2257	2275	2195	2252	2257	2265	2294	2317	2292	2309	2276	2285	2246	2279	2044	2194	2208	2284	2268	2299	2268	2305	2338	2285	2222	2262	2195	2191	2221	2230	2265	2286	2249	2255	2263	2226	2277	2228
0:01:30	30	6159	2324	2061	2333	2303	2324	2282	2571	2324	2038	2279	2306	2261	2253	2262	2331	2315	2359	2321	2336	2288	2352	2248	2289	2222	2290	2285	2322	2322	2335	5135	2379	2422	2316	2284	2296	2253	2310	2371	2315	2323	2381	2253	2371	2338	2341	2256	2303	2245	2255	2267	2383	2278	2357	2312	2354	2315	2344	2271	2274	2224	2280	2262	2265	2292	2331	2306	2320	2278	2296	2249	2274	2061	2206	2204	2301	2281	2305	2276	2294	2353	2301	2245	2267	2197	2190	2229	2260	2279	2291	2264	2280	2277	2235	2281	2237
0:01:51	30	6689	2370	2057	2330	2306	2323	2291	2627	2333	2040	2297	2303	2286	2253	2231	2321	2324	2358	2338	2347	2298	2376	2250	2286	2255	2294	2281	2322	2335	2335	5275	2381	2444	2317	2296	2298	2285	2322	2392	2323	2324	2375	2279	2382	2336	2345	2253	2307	2259	2265	2269	2409	2280	2369	2332	2356	2302	2352	2275	2280	2230	2267	2285	2280	2301	2330	2332	2331	2296	2285	2244	2309	2074	2223	2230	2295	2290	2322	2280	2315	2376	2307	2266	2280	2230	2203	2225	2273	2283	2332	2266	2303	2307	2254	2294	2231
0:02:12	30	7142	2398	2093	2339	2308	2335	2290	2653	2335	2083	2318	2339	2280	2273	2251	2331	2353	2369	2337	2338	2306	2395	2253	2306	2279	2294	2292	2326	2335	2355	5445	2388	2467	2335	2302	2319	2300	2332	2414	2317	2343	2406	2279	2371	2355	2365	2254	2340	2273	2264	2276	2431	2306	2361	2351	2372	2314	2376	2298	2303	2261	2263	2280	2290	2305	2339	2334	2331	2302	2297	2282	2318	2091	2221	2223	2315	2300	2321	2288	2322	2396	2312	2264	2286	2237	2207	2238	2288	2311	2330	2276	2326	2351	2277	2299	2262
0:02:33	30	7627	2417	2122	2354	2328	2347	2295	2709	2327	2109	2352	2378	2315	2280	2266	2334	2364	2381	2346	2367	2308	2387	2269	2334	2313	2320	2301	2329	2348	2356	5552	2405	2493	2334	2326	2324	2306	2338	2423	2328	2339	2394	2285	2382	2365	2355	2275	2343	2288	2270	2276	2443	2310	2368	2385	2367	2311	2362	2297	2293	2274	2277	2289	2297	2327	2335	2352	2340	2305	2296	2320	2339	2106	2244	2241	2320	2305	2324	2301	2334	2421	2326	2280	2307	2259	2234	2247	2326	2352	2347	2281	2368	2374	2301	2326	2285
0:02:54	30	8049	2453	2167	2366	2346	2353	2313	2772	2352	2129	2387	2400	2336	2313	2285	2348	2377	2385	2362	2370	2317	2410	2283	2342	2329	2304	2304	2341	2340	2355	5663	2405	2529	2332	2322	2336	2326	2325	2455	2337	2352	2394	2287	2394	2376	2368	2305	2362	2331	2280	2291	2474	2312	2401	2421	2389	2323	2378	2315	2302	2292	2296	2287	2318	2329	2347	2390	2377	2301	2301	2338	2374	2141	2254	2266	2326	2325	2331	2297	2348	2440	2340	2268	2324	2288	2247	2271	2367	2384	2399	2309	2424	2415	2336	2355	2298
0:03:15	30	8409	2465	2176	2399	2353	2378	2319	2821	2370	2161	2419	2413	2369	2332	2279	2348	2433	2395	2373	2364	2329	2434	2306	2369	2352	2322	2307	2345	2351	2369	5776	2407	2562	2343	2341	2366	2331	2340	2472	2348	2349	2416	2312	2399	2388	2371	2301	2363	2354	2314	2298	2503	2315	2435	2441	2419	2335	2379	2337	2322	2302	2317	2302	2323	2334	2358	2406	2400	2325	2322	2355	2394	2156	2274	2298	2337	2347	2338	2311	2372	2473	2332	2303	2345	2325	2265	2291	2387	2416	2433	2321	2453	2436	2366	2388	2334
