Dye_Fit_X,Dye_Fit_Y,Dye_Data_X,Dye_Data_Y,Dye_Data_Y_esd,A1_Fit_X,A1_Fit_Y,A1_Data_X,A1_Data_Y,A1_Data_Y_esd,MUT1_Fit_X,MUT1_Fit_Y,MUT1_Data_X,MUT1_Data_Y,MUT1_Data_Y_esd,MUT2_Fit_X,MUT2_Fit_Y,MUT2_Data_X,MUT2_Data_Y,MUT2_Data_Y_esd,MUT3_Fit_X,MUT3_Fit_Y,MUT3_Data_X,MUT3_Data_Y,MUT3_Data_Y_esd,MUT4_Fit_X,MUT4_Fit_Y,MUT4_Data_X,MUT4_Data_Y,MUT4_Data_Y_esd,MUT5_Fit_X,MUT5_Fit_Y,MUT5_Data_X,MUT5_Data_Y,MUT5_Data_Y_esd,MUT6_Fit_X,MUT6_Fit_Y,MUT6_Data_X,MUT6_Data_Y,MUT6_Data_Y_esd,,,,,,,,,
0,0.64673,0,0.6298,0.0018,0,0.64513,0,0.6763,2.00E-04,0,0.6779,0,0.6845,0.0025,0,0.65657,0,0.6812,0.0115,0,0.66145,0,0.6827,0.0043,0,0.67597,0,0.6716,0.0024,0,0.66294,0,0.6716,0.0024,0,0.67852,0,0.689,5.00E-04,,,,,,,,,
0.28,0.67395,2,0.8439,0.0011,0.28,0.66503,2,0.7734,0.0016,0.28,0.70209,2,0.8462,0,0.28,0.67759,2,0.7983,0.0111,0.28,0.68404,2,0.8162,0.0146,0.28,0.69593,2,0.8111,0.0037,0.28,0.68122,2,0.7772,0.007,0.28,0.69525,2,0.7933,0.0068,,,,,,,,,
0.56,0.70116,4,1.0437,0.0069,0.56,0.6848,4,0.8827,0.0245,0.56,0.72624,4,1.0151,0.0075,0.56,0.69848,4,0.9095,0.008,0.56,0.70652,4,0.9415,0.0012,0.56,0.71576,4,0.9489,0.0134,0.56,0.69938,4,0.9002,0.0099,0.56,0.71187,4,0.8884,0.0023,,,,,,,,,
0.84,0.72837,6,1.2489,0.0152,0.84,0.70441,6,1.01,0,0.84,0.75034,6,1.1683,0.0091,0.84,0.71922,6,1.063,0.0197,0.84,0.72889,6,1.106,0.0056,0.84,0.73545,6,1.073,0.0216,0.84,0.7174,6,1.0303,4.00E-04,0.84,0.72837,6,1.005,0.007,,,,,,,,,
1.12,0.75558,8,1.4349,0.0089,1.12,0.72388,8,1.1566,0.0071,1.12,0.77438,8,1.3176,0.0222,1.12,0.73982,8,1.1836,0.0013,1.12,0.75113,8,1.2311,0.0126,1.12,0.75499,8,1.1921,0.0083,1.12,0.73528,8,1.1328,0.0222,1.12,0.74475,8,1.1177,0.0033,,,,,,,,,
1.4,0.78278,10,1.5418,0.0026,1.4,0.74319,10,1.2637,0.0089,1.4,0.79835,10,1.4365,0.0112,1.4,0.76026,10,1.2813,0.0181,1.4,0.77325,10,1.3433,0.0046,1.4,0.77439,10,1.2662,0.0196,1.4,0.75303,10,1.2289,0.0016,1.4,0.76102,10,1.2,0.0055,,,,,,,,,
1.68,0.80998,12,1.554,0.0096,1.68,0.76234,12,1.3287,0.0065,1.68,0.82227,12,1.4978,0.0167,1.68,0.78053,12,1.3694,0.0164,1.68,0.79522,12,1.4203,0.0018,1.68,0.79363,12,1.3448,0.0073,1.68,0.77063,12,1.3072,0.0322,1.68,0.77717,12,1.2837,0.0068,,,,,,,,,
1.96,0.83718,14,1.5673,0.0018,1.96,0.78134,14,1.4171,0.0028,1.96,0.84611,14,1.5335,0.0081,1.96,0.80065,14,1.4515,7.00E-04,1.96,0.81706,14,1.476,0.0068,1.96,0.81271,14,1.418,0.0088,1.96,0.78808,14,1.359,0.0192,1.96,0.79319,14,1.3625,0.0143,,,,,,,,,
2.24,0.86437,16,1.5611,0.0184,2.24,0.80017,16,1.4645,0.0093,2.24,0.86987,16,1.5457,0.0081,2.24,0.82059,16,1.4928,0.0034,2.24,0.83874,16,1.5055,0.0206,2.24,0.83163,16,1.4488,0.0017,2.24,0.80539,16,1.4242,0.0161,2.24,0.8091,16,1.4185,0.0103,,,,,,,,,
2.52,0.89156,18,1.5699,0.0156,2.52,0.81883,18,1.5095,0.0067,2.52,0.89354,18,1.5637,0.0069,2.52,0.84035,18,1.5216,0.0175,2.52,0.86026,18,1.5331,0.0076,2.52,0.85038,18,1.4878,0.0042,2.52,0.82255,18,1.4619,0.0115,2.52,0.82488,18,1.4653,0.0281,,,,,,,,,
