design,plate ID,scaffold,condition,[E]0 (uM),kcat (s-1),kcat sd,Km (uM),Km sd,kcat/Km (M-1 s-1),kcat/Km sd,kuncat (s-1),kuncat sd,kcat/kuncat,kcat/kuncat sd,(kcat/Km)/kuncat (M-1),(kcat/Km)/kuncat sd
ZAPP-1,p1D1,PET_i1,+25 mM NaHCO3,24,0.0153128,0.00202407,7778.23,1825.28,1.96867,0.530228,4.97853e-08,1.31762e-08,307577,90991.1,3.95433e+07,1.49317e+07
ZAPP-1 (no NaHCO3),p1D1,PET_i1,no NaHCO3,37.3,0.00134468,0.000133997,2577.97,652.199,0.521602,0.141827,5.39464e-08,2.93411e-09,24926.2,2829.79,9.6689e+06,2.68113e+06
R1 p1D7,p1D7,PET_i1,+25 mM NaHCO3,21.3,0.00320461,0.00022261,1452.84,305.18,2.20576,0.488017,4.97853e-08,1.31762e-08,64368.6,17612.8,4.43055e+07,1.52835e+07
R1 p1D8,p1D8,PET_i1,+25 mM NaHCO3,26.1,0.00292496,0.000208193,1502.03,320.105,1.94733,0.437539,4.97853e-08,1.31762e-08,58751.3,16101.6,3.91145e+07,1.35795e+07
R1 p1E10,p1E10,PET_i1,+25 mM NaHCO3,15.3,0.0018575,0.000215995,2467.09,738.432,0.752911,0.241766,4.97853e-08,1.31762e-08,37310.1,10785.6,1.51232e+07,6.29303e+06
ZAPP-2,p2C4,PTE_i2_s3,+25 mM NaHCO3,26.6,0.0229892,0.00537939,5727.35,2626.75,4.01393,2.06668,4.97853e-08,1.31762e-08,461766,163128,8.06248e+07,4.6675e+07
R2 p2B12,p2B12,PTE_i2_s3,+25 mM NaHCO3,10.3,0.0039262,0.000547849,3383.84,1099.17,1.16028,0.410195,4.97853e-08,1.31762e-08,78862.5,23595,2.33057e+07,1.02923e+07
ZAPP-3,p2G1,PTE_i2_s7,+25 mM NaHCO3,27.5,0.0100507,0.00266297,5949.88,3051.55,1.68923,0.975146,4.97853e-08,1.31762e-08,201882,75603.2,3.39304e+07,2.15474e+07
ZAPP-4,p2E3,PTE_i2_s6,+25 mM NaHCO3,28.9,0.0103194,0.00175469,3372.49,1336.39,3.05987,1.31943,4.97853e-08,1.31762e-08,207278,65204.5,6.14612e+07,3.10961e+07
ZAPP-5,p1F6,PTE_i2_s1,+25 mM NaHCO3,34.8,0.00789325,0.00183099,6855,2939.67,1.15146,0.5614,4.97853e-08,1.31762e-08,158546,55796.9,2.31285e+07,1.28307e+07
R2 p1D9,p1D9,PTE_i2_s1,+25 mM NaHCO3,44.6,0.00564741,0.00204605,13568.4,7389.47,0.416218,0.272252,4.97853e-08,1.31762e-08,113435,50895,8.36026e+06,5.89919e+06
R2 p1H4,p1H4,PTE_i2_s1,+25 mM NaHCO3,39.1,0.00250173,0.000490046,7355.67,2603.97,0.340109,0.137604,4.97853e-08,1.31762e-08,50250.3,16545.6,6.83151e+06,3.30279e+06
ZAPP-1 MUT1,p1D1,PET_i1,+25 mM NaHCO3,32.7,0.000646749,0.000196943,8716.4,4546.26,0.0741992,0.0448134,4.97853e-08,1.31762e-08,12990.8,5241.14,1.49038e+06,982764
ZAPP-1 MUT2,p1D1,PET_i1,+25 mM NaHCO3,25.8,0.00460547,0.00210997,20340.5,12642,0.226419,0.174824,4.97853e-08,1.31762e-08,92506.6,48944.8,4.5479e+06,3.71212e+06
ZAPP-1 MUT3,p1D1,PET_i1,+25 mM NaHCO3,28.1,0.0011314,0.000669161,6422.68,7172.25,0.176157,0.222603,4.97853e-08,1.31762e-08,22725.6,14725.3,3.53834e+06,4.56827e+06
ZAPP-1 MUT4,p1D1,PET_i1,+25 mM NaHCO3,18.7,0.000572018,0.0283633,259200,1.32564e+07,0.00220686,0.157204,4.97853e-08,1.31762e-08,11489.7,569719,44327.5,3.15765e+06
ZAPP-1 MUT5,p1D1,PET_i1,+25 mM NaHCO3,39.5,4.58348e-05,8.61153e-06,3507.6,1516.41,0.0130673,0.00615967,4.97853e-08,1.31762e-08,920.649,298.813,262472,141892
ZAPP-1 MUT6,p1D1,PET_i1,+25 mM NaHCO3,23.2,0.000361411,6.81271e-05,7627.86,2568.6,0.0473804,0.0182846,4.97853e-08,1.31762e-08,7259.39,2358.78,951695,445340
