activity_rank,design_id,scaffold,plate_number,well_position,source_well,reader_well,rate_abs_per_min,rate_corrected_abs_per_min,robust_z,fold_over_background,fit_r2,fit_residual_sd,fit_n_points,initial_abs,final_abs,max_abs,qc_pass,flag_optical_artifact,flag_above_linear_range,fit_segmented,is_hit,parent
1,ZAPP_i3_AR_pte_0066,1,1,F6,P1F6,C12,0.06172681580961061,0.06135338223388484,279.8565064723364,165.29530235636665,0.9992881312094004,0.006677893712822723,19,0.392,3.262,3.262,True,False,True,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_050_af3i2_idx_3_model_aligned_chiseli2_450
2,ZAPP_i3_AR_pte_0124,3,2,C4,P2C4,F7,0.045551377501105675,0.0451779439253799,206.07407605276475,121.97986593084491,0.9997511138191847,0.002913177682934612,19,0.248,3.241,3.241,True,False,True,False,True,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_208_af3i2_idx_4_model_aligned_chiseli2_327
4,ZAPP_i3_AR_pte_0120,3,2,B12,P2B12,E24,0.02109273139473021,0.02071929781900444,94.50873110926992,56.48322155750531,0.9992003465954136,0.0024186244870702932,19,0.208,1.645,1.645,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_208_af3i2_idx_4_model_aligned_chiseli2_346
5,ZAPP_i3_AR_pte_0045,1,1,D9,P1D9,B18,0.01661403474775342,0.01624060117202765,74.07966344362369,44.48993295652079,0.9999344885327601,0.0005450784593627474,19,0.214,1.242,1.242,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_108_af3i2_idx_1_model_aligned_chiseli2_317
6,ZAPP_i3_AR_pte_0147,6,2,E3,P2E3,G5,0.014984962102621808,0.014611528526896036,66.64883302064516,40.12751685088408,0.9994336113593655,0.0014459289624759021,19,0.275,1.236,1.236,True,False,False,False,True,ZAPP_p1D1_rotP_0_ORI_02_C6_i_9_model_1__eV2_T0_10__3_1_FS125_chisel_164_chiseli2_243
7,ZAPP_i3_AR_pte_0169,7,2,G1,P2G1,H1,0.014090225272872254,0.013716791697146482,62.56759227614466,37.73154367677775,0.999687633618855,0.0010095525633650806,19,0.186,1.086,1.086,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_10_C3_i_38_model_2__eV2_T0_10__15_1_FS108_chisel_120_chiseli2_418
8,ZAPP_i3_AR_pte_0057,1,1,E9,P1E9,C17,0.01387218016918975,0.013498746593463978,61.57300422332363,37.147651070820366,0.9998076180039204,0.0007799732874755886,19,0.196,1.053,1.053,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_30__10_1_FS232_chisel_261_af3i2_idx_0_model_aligned_chiseli2_487
9,ZAPP_i3_AR_pte_0023,1,1,B11,P1B11,A22,0.012313282958126004,0.011939849382400232,54.462271097402784,32.9731544202875,0.9988127665411695,0.0017207227357757674,19,0.22,0.982,0.982,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__6_1_FS232_chisel_202_af3i2_idx_2_model_aligned_chiseli2_149
10,ZAPP_i3_AR_pte_0031,1,1,C7,P1C7,B13,0.010636591261112062,0.01026315768538629,46.81423176081439,28.483221521899146,0.9995813326660411,0.0008823460719645706,19,0.192,0.862,0.862,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_108_af3i2_idx_1_model_aligned_chiseli2_414
11,ZAPP_i3_AR_pte_0005,1,1,A5,P1A5,A9,0.008533834411532498,0.008160400835806726,37.22274447098888,22.852349028731293,0.9995797014280571,0.0007092926683546707,19,0.187,0.729,0.729,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_108_af3i2_idx_3_model_aligned_chiseli2_103
