reader_well,plate_number,well_position,design_id,design_index,scaffold,parent,source_well,ori_family,rate_abs_per_min,fit_intercept_abs,fit_r2,fit_residual_sd,fit_n_points,fit_first_min,fit_last_min,fit_segmented,initial_abs,final_abs,max_abs,max_abs_in_window,n_drop_artifacts,first_drop_min,largest_drop_abs,flag_optical_artifact,flag_above_linear_range,flag_saturated_in_window,qc_pass,rate_corrected_abs_per_min,robust_z,fold_over_background,is_hit,activity_rank
C12,1,F6,ZAPP_i3_AR_pte_0066,66,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_050_af3i2_idx_3_model_aligned_chiseli2_450,P1F6,ORI_05_C9_i_14_model_2,0.06172681580961061,0.42844213589270946,0.9992881312094004,0.006677893712822723,19,2.09999952,14.69999952,False,0.392,3.262,3.262,1.324,0,,0.017999999999999794,False,True,False,True,0.06135338223388484,279.8565064723364,165.29530235636665,True,1
F7,2,C4,ZAPP_i3_AR_pte_0124,124,3,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_208_af3i2_idx_4_model_aligned_chiseli2_327,P2C4,ORI_11_C9_i_12_model_3,0.045551377501105675,0.2411052860560067,0.9997511138191847,0.002913177682934612,19,2.09999952,14.69999952,False,0.248,3.241,3.241,0.916,0,,0.02999999999999997,False,True,False,True,0.0451779439253799,206.07407605276475,121.97986593084491,True,2
D8,1,H4,ZAPP_i3_AR_pte_0088,88,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_30__9_1_FS232_chisel_177,P1H4,ORI_05_C9_i_14_model_2,0.034874412144879664,0.28836814201622835,0.9995022279115445,0.0022159893221101365,13,2.09999952,10.49999904,True,0.289,2.138,2.138,0.723,1,11.200000320000001,-0.052000000000000046,True,True,False,False,0.03450097856915389,157.37230745378238,93.38852854112245,False,3
E24,2,B12,ZAPP_i3_AR_pte_0120,120,3,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_208_af3i2_idx_4_model_aligned_chiseli2_346,P2B12,ORI_11_C9_i_12_model_3,0.02109273139473021,0.19976843163261582,0.9992003465954136,0.0024186244870702932,19,2.09999952,14.69999952,False,0.208,1.645,1.645,0.514,0,,0.012999999999999984,False,False,False,True,0.02071929781900444,94.50873110926992,56.48322155750531,True,4
B18,1,D9,ZAPP_i3_AR_pte_0045,45,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_108_af3i2_idx_1_model_aligned_chiseli2_317,P1D9,ORI_05_C9_i_14_model_2,0.01661403474775342,0.21423158725948058,0.9999344885327601,0.0005450784593627474,19,2.09999952,14.69999952,False,0.214,1.242,1.242,0.459,0,,0.009999999999999953,False,False,False,True,0.01624060117202765,74.07966344362369,44.48993295652079,True,5
G5,2,E3,ZAPP_i3_AR_pte_0147,147,6,ZAPP_p1D1_rotP_0_ORI_02_C6_i_9_model_1__eV2_T0_10__3_1_FS125_chisel_164_chiseli2_243,P2E3,ORI_02_C6_i_9_model_1,0.014984962102621808,0.2744421127330381,0.9994336113593655,0.0014459289624759021,19,2.09999952,14.69999952,False,0.275,1.236,1.236,0.496,0,,-0.0010000000000000009,False,False,False,True,0.014611528526896036,66.64883302064516,40.12751685088408,True,6
H1,2,G1,ZAPP_i3_AR_pte_0169,169,7,ZAPP_p1D1_rotP_1_ORI_10_C3_i_38_model_2__eV2_T0_10__15_1_FS108_chisel_120_chiseli2_418,P2G1,ORI_10_C3_i_38_model_2,0.014090225272872254,0.18264211233539962,0.999687633618855,0.0010095525633650806,19,2.09999952,14.69999952,False,0.186,1.086,1.086,0.391,0,,0.008999999999999952,False,False,False,True,0.013716791697146482,62.56759227614466,37.73154367677775,True,7
C17,1,E9,ZAPP_i3_AR_pte_0057,57,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_30__10_1_FS232_chisel_261_af3i2_idx_0_model_aligned_chiseli2_487,P1E9,ORI_05_C9_i_14_model_2,0.01387218016918975,0.19378948060840637,0.9998076180039204,0.0007799732874755886,19,2.09999952,14.69999952,False,0.196,1.053,1.053,0.399,0,,0.00799999999999998,False,False,False,True,0.013498746593463978,61.57300422332363,37.147651070820366,True,8
A22,1,B11,ZAPP_i3_AR_pte_0023,23,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__6_1_FS232_chisel_202_af3i2_idx_2_model_aligned_chiseli2_149,P1B11,ORI_05_C9_i_14_model_2,0.012313282958126004,0.21751579561673548,0.9988127665411695,0.0017207227357757674,19,2.09999952,14.69999952,False,0.22,0.982,0.982,0.4,0,,0.0050000000000000044,False,False,False,True,0.011939849382400232,54.462271097402784,32.9731544202875,True,9
B13,1,C7,ZAPP_i3_AR_pte_0031,31,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_108_af3i2_idx_1_model_aligned_chiseli2_414,P1C7,ORI_05_C9_i_14_model_2,0.010636591261112062,0.1912842158473076,0.9995813326660411,0.0008823460719645706,19,2.09999952,14.69999952,False,0.192,0.862,0.862,0.348,0,,0.0050000000000000044,False,False,False,True,0.01026315768538629,46.81423176081439,28.483221521899146,True,10
