N      ['d7', 'd8', 'd17', 'd77']        Energy            Comment
0	[293.72, 174.01, 76.56, 292.23]	-140.803442918881	input geometry
1	[-166.0, -46.0, 18.0, 9.0]	-140.713523763188
2	[-115.0, 169.0, -95.0, -163.0]	-140.773057532924
3	[52.0, -114.0, -5.0, -2.0]		Rejected due to clashes.
4	[88.0, 10.0, 82.0, 167.0]	-140.353867829626
5	[-57.0, -15.0, -129.0, -31.0]		Rejected due to clashes.
6	[-40.0, -142.0, -80.0, 176.0]		Rejected due to clashes.
7	[136.0, -69.0, 142.0, 90.0]	-140.699104869729
8	[109.0, -92.0, -33.0, 121.0]	-140.720801199319
9	[143.0, 15.0, 73.0, -127.0]	-140.628464060854
10	[85.0, -52.0, -150.0, -175.0]		Rejected due to clashes.
11	[-178.0, 101.0, 18.0, -127.0]	-140.736755954509
12	[-126.0, -41.0, 13.0, -168.0]	-140.726987368598
13	[-104.0, 103.0, -61.0, 157.0]	-140.782473368655
14	[-2.0, 166.0, 104.0, -101.0]		Rejected due to clashes.
15	[111.0, 54.0, -121.0, -50.0]		Rejected due to clashes.
16	[-58.0, -128.0, 20.0, -158.0]	-140.693664713453
17	[-58.0, 146.0, -149.0, 123.0]	-140.426801493793	Rejected due to high energy.
18	[39.0, -143.0, -30.0, -98.0]		Rejected due to clashes.
19	[86.0, 172.0, -34.0, -152.0]	-140.6664524151
20	[-147.0, 151.0, -80.0, 77.0]	-140.781403848267
21	[-126.0, 55.0, -46.0, 133.0]	-140.782386998391
22	[85.0, 11.0, -140.0, 145.0]		Rejected due to clashes.
23	[83.0, 54.0, -163.0, 96.0]		Rejected due to clashes.
24	[126.0, -33.0, 46.0, -164.0]		Rejected due to clashes.
25	[77.0, 66.0, 80.0, 165.0]		Rejected due to clashes.
26	[-35.0, 15.0, -128.0, 116.0]		Rejected due to clashes.
27	[-49.0, 158.0, -143.0, 116.0]	-140.587202747316	Rejected due to high energy.
28	[27.0, 162.0, -43.0, -2.0]		Rejected due to clashes.
29	[53.0, 157.0, -135.0, 84.0]		Rejected due to clashes.
30	[-58.0, -30.0, -52.0, 84.0]	-140.770835692226
31	[-17.0, -59.0, -67.0, 28.0]		Rejected due to clashes.
32	[-128.0, -119.0, -125.0, -118.0]	-140.773233243324
33	[54.0, -67.0, -98.0, -90.0]		Rejected due to clashes.
34	[-26.0, 168.0, -52.0, -173.0]		Rejected due to clashes.
35	[-16.0, -118.0, 107.0, -138.0]		Rejected due to clashes.
36	[-46.0, -43.0, 58.0, 143.0]	-140.644164270794	Rejected due to high energy.
37	[113.0, 56.0, 63.0, -37.0]		Rejected due to clashes.
38	[-17.0, -152.0, -52.0, -56.0]		Rejected due to clashes.
39	[-127.0, -67.0, -1.0, 169.0]	-140.70344540302	Rejected due to high energy.
40	[-62.0, -85.0, 143.0, -81.0]	-140.577494881564	Rejected due to high energy.
41	[-103.0, 36.0, -109.0, 115.0]	-140.659403314281	Rejected due to high energy.
42	[-47.0, 34.0, -84.0, -86.0]		Rejected due to clashes.
43	[-124.0, -142.0, -153.0, 178.0]		Rejected due to clashes.
44	[84.0, -154.0, 91.0, -109.0]		Rejected due to clashes.
45	[50.0, -46.0, 139.0, -173.0]		Rejected due to clashes.
46	[86.0, 89.0, 46.0, 104.0]		Rejected due to clashes.
47	[-167.0, 31.0, 8.0, 160.0]	-140.576081295836	Rejected due to high energy.
48	[165.0, 174.0, 64.0, 11.0]	-140.753590729346
49	[107.0, -46.0, 9.0, 160.0]		Rejected due to clashes.
50	[92.0, 16.0, 165.0, 171.0]		Rejected due to clashes.
51	[-92.0, -122.0, 27.0, -45.0]	-140.778215899499
52	[-114.0, 84.0, -133.0, -11.0]		Rejected due to clashes.
53	[158.0, -143.0, -144.0, 48.0]	-140.676612973451	Rejected due to high energy.
54	[-174.0, 83.0, 108.0, 125.0]	-140.725302007278	Rejected due to high energy.
55	[131.0, -125.0, -36.0, 48.0]		Rejected due to clashes.
56	[-97.0, -66.0, -12.0, 122.0]	-140.782291430026
