N      ['d7', 'd8', 'd17', 'd65']        Energy            Comment
0	[294.75, 303.48, 178.7, 249.99]	-124.331529960375	input geometry
1	[137.0, 167.0, -134.0, 58.0]		Rejected due to clashes.
2	[-174.0, -178.0, -164.0, -115.0]	-124.312356248212
3	[-39.0, -76.0, -92.0, -107.0]	-124.3086727129
4	[40.0, 2.0, -83.0, -55.0]	-124.272386217113
5	[180.0, 87.0, 178.0, -31.0]		Rejected due to clashes.
6	[-130.0, 26.0, 133.0, -98.0]	-124.301922849
7	[171.0, 41.0, 0.0, 70.0]	-124.272221645803
8	[118.0, 108.0, -90.0, 2.0]	-124.271236872913
9	[-136.0, -171.0, -37.0, -48.0]	-124.290622869161
10	[-136.0, 5.0, -131.0, 83.0]	-124.307620650127
11	[148.0, 52.0, -43.0, -125.0]		Rejected due to clashes.
12	[4.0, 67.0, -168.0, -49.0]	-124.27547379078
13	[72.0, -30.0, 141.0, -76.0]		Rejected due to clashes.
14	[-21.0, -112.0, -56.0, 42.0]	-124.241744255619	Rejected due to high energy.
15	[148.0, 139.0, 119.0, 90.0]		Rejected due to clashes.
16	[85.0, 67.0, 163.0, -29.0]		Rejected due to clashes.
17	[-106.0, -24.0, -29.0, -107.0]	-124.31018589646
18	[-124.0, 158.0, 145.0, -88.0]	-124.301837887539
19	[54.0, -161.0, 91.0, -69.0]		Rejected due to clashes.
20	[-160.0, -52.0, 99.0, 58.0]	-124.227565532741	Rejected due to high energy.
21	[-116.0, 155.0, 56.0, 136.0]	-124.288315675454
22	[-128.0, -108.0, -101.0, -61.0]	-124.310988263424
23	[-3.0, -71.0, -149.0, 94.0]	-124.29659531771
24	[-19.0, -129.0, -42.0, -44.0]		Rejected due to clashes.
25	[-89.0, -52.0, -66.0, 41.0]	-124.318986837865
26	[-61.0, -43.0, 73.0, 15.0]	-124.261235411087	Rejected due to high energy.
27	[76.0, -179.0, 132.0, 32.0]		Rejected due to clashes.
28	[51.0, -59.0, -18.0, 163.0]	-124.2325229045	Rejected due to high energy.
29	[0.0, -41.0, 65.0, -145.0]	-123.944763793295	Rejected due to high energy.
30	[-130.0, -87.0, -142.0, 6.0]	-124.271612192712	Rejected due to high energy.
31	[-94.0, 145.0, 84.0, -134.0]		Rejected due to clashes.
32	[-178.0, 63.0, -118.0, -58.0]	-124.303965791263
33	[-177.0, -67.0, -130.0, -105.0]	-124.291593912939	Rejected due to high energy.
34	[-2.0, -51.0, 34.0, 137.0]	-124.183570934782	Rejected due to high energy.
35	[125.0, 146.0, -72.0, 88.0]		Rejected due to clashes.
36	[-41.0, 139.0, 127.0, -105.0]	-124.217494312688	Rejected due to high energy.
37	[-38.0, -69.0, -180.0, 105.0]	-124.285316348438	Rejected due to high energy.
38	[130.0, -180.0, -49.0, -90.0]		Rejected due to clashes.
39	[-102.0, -173.0, 15.0, 34.0]	-124.256318627735	Rejected due to high energy.
40	[125.0, 138.0, 9.0, -60.0]		Rejected due to clashes.
41	[60.0, -63.0, 40.0, 161.0]		Rejected due to clashes.
42	[-74.0, -42.0, 49.0, -161.0]	-124.310107414325
43	[91.0, 131.0, 171.0, 36.0]	-124.276168233965	Rejected due to high energy.
44	[-122.0, 26.0, -135.0, 176.0]	-124.271846002226	Rejected due to high energy.
45	[4.0, 100.0, -26.0, -98.0]	-124.287467809498	Rejected due to high energy.
46	[-148.0, 133.0, -66.0, 170.0]	-124.175445874464	Rejected due to high energy.
47	[13.0, -131.0, 25.0, -32.0]	-124.245611362079	Rejected due to high energy.
48	[-162.0, 151.0, 65.0, 63.0]	-124.264228761799	Rejected due to high energy.
49	[-111.0, -115.0, -31.0, 172.0]	-124.296146353429	Rejected due to high energy.
50	[167.0, -17.0, 115.0, -17.0]		Rejected due to clashes.
51	[-18.0, -84.0, 23.0, -161.0]	-124.162292393835	Rejected due to high energy.
52	[-144.0, -103.0, 7.0, 38.0]	-124.277397765598	Rejected due to high energy.
53	[-60.0, -40.0, -86.0, 4.0]	-124.279052911874	Rejected due to high energy.
54	[-82.0, 168.0, 148.0, 154.0]		Rejected due to clashes.
55	[-59.0, 167.0, 131.0, -156.0]		Rejected due to clashes.
56	[-89.0, 60.0, -16.0, 106.0]	-124.295630773336	Rejected due to high energy.
57	[-67.0, 63.0, -7.0, -22.0]	-124.260501040457	Rejected due to high energy.
58	[173.0, -103.0, -134.0, 7.0]	-124.267631254237	Rejected due to high energy.
59	[56.0, 106.0, -17.0, 39.0]		Rejected due to clashes.
60	[24.0, 89.0, 158.0, 145.0]		Rejected due to clashes.
61	[106.0, -103.0, -38.0, -133.0]		Rejected due to clashes.
62	[-8.0, -83.0, -106.0, -151.0]	-124.298003808845	Rejected due to high energy.
63	[45.0, -37.0, -165.0, -5.0]	-124.191117750398	Rejected due to high energy.
64	[-91.0, 16.0, -119.0, -119.0]	-124.292622503163	Rejected due to high energy.
65	[77.0, -82.0, 165.0, -72.0]	-124.282575050411	Rejected due to high energy.
66	[-88.0, -43.0, -81.0, -65.0]	-124.319317514613
67	[43.0, -12.0, 82.0, 48.0]		Rejected due to clashes.
68	[-161.0, -116.0, 72.0, 98.0]	-124.305486486814
69	[116.0, 147.0, 79.0, -74.0]		Rejected due to clashes.
70	[101.0, -103.0, -102.0, 112.0]	-124.2865879057	Rejected due to high energy.
71	[-123.0, 4.0, 180.0, -129.0]	-124.308995778186
72	[-112.0, 20.0, 91.0, 139.0]	-124.309287044865
73	[-96.0, -38.0, 49.0, -86.0]	-124.317210322605
74	[-11.0, 160.0, 90.0, 100.0]		Rejected due to clashes.
75	[-132.0, -63.0, 20.0, 118.0]	-124.293458119475	Rejected due to high energy.
76	[103.0, -56.0, 52.0, 140.0]		Rejected due to clashes.
77	[-96.0, 135.0, 64.0, -3.0]	-124.300082446895	Rejected due to high energy.
78	[-102.0, 117.0, 26.0, 124.0]	-124.308604562628	Rejected due to high energy.
79	[-2.0, 126.0, 107.0, 43.0]		Rejected due to clashes.
80	[-134.0, -48.0, -73.0, 167.0]	-124.292055000203	Rejected due to high energy.
81	[6.0, -59.0, -58.0, 151.0]	-124.199413701808	Rejected due to high energy.
82	[14.0, -75.0, 77.0, 57.0]		Rejected due to clashes.
83	[30.0, -167.0, 160.0, -88.0]	-124.231625517984	Rejected due to high energy.
84	[-164.0, -156.0, -14.0, -39.0]	-124.241095771443	Rejected due to high energy.
85	[-53.0, 22.0, -70.0, 98.0]	-123.901020883823	Rejected due to high energy.
86	[92.0, 27.0, -161.0, -33.0]		Rejected due to clashes.
87	[-128.0, 119.0, -157.0, 13.0]	-124.280765800766	Rejected due to high energy.
88	[137.0, 57.0, -41.0, -2.0]		Rejected due to clashes.
89	[-109.0, 178.0, -123.0, -141.0]	-124.274363581409	Rejected due to high energy.
90	[-131.0, 11.0, 27.0, 154.0]	-124.235007410252	Rejected due to high energy.
91	[-6.0, -9.0, -2.0, 30.0]		Rejected due to clashes.
92	[-83.0, 90.0, 119.0, 60.0]	-124.294008251372	Rejected due to high energy.
93	[-99.0, 83.0, -77.0, 117.0]	-124.31811313401
94	[36.0, -109.0, -138.0, -156.0]	-124.278742929951	Rejected due to high energy.
95	[-57.0, -130.0, 144.0, 98.0]		Rejected due to clashes.
96	[-36.0, -97.0, -5.0, -51.0]	-124.286945637005	Rejected due to high energy.
97	[-45.0, -113.0, -75.0, 24.0]	-124.223677898352	Rejected due to high energy.
98	[112.0, -104.0, -19.0, -12.0]		Rejected due to clashes.
99	[-76.0, 46.0, -7.0, 147.0]	-124.109280773399	Rejected due to high energy.
100	[42.0, -74.0, -77.0, 44.0]	-124.257620985886	Rejected due to high energy.
101	[35.0, 154.0, 79.0, 8.0]		Rejected due to clashes.
102	[-130.0, -135.0, -128.0, 2.0]	-124.274726629494	Rejected due to high energy.
103	[-8.0, 14.0, 61.0, -80.0]		Rejected due to clashes.
104	[-107.0, -24.0, -104.0, -34.0]	-124.298986168963	Rejected due to high energy.
105	[-175.0, 134.0, 38.0, 82.0]	-124.235670254105	Rejected due to high energy.
106	[87.0, 18.0, 79.0, -58.0]		Rejected due to clashes.
107	[-17.0, 9.0, 169.0, 5.0]		Rejected due to clashes.
108	[-26.0, -4.0, -172.0, -24.0]	-124.006132835946	Rejected due to high energy.
109	[175.0, 40.0, -106.0, -46.0]	-124.303439255262	Rejected due to high energy.
110	[40.0, 91.0, 120.0, 40.0]	-124.204053698863	Rejected due to high energy.
111	[7.0, -27.0, 131.0, -38.0]		Rejected due to clashes.
112	[-40.0, -161.0, -32.0, 111.0]		Rejected due to clashes.
113	[-132.0, -23.0, 38.0, 117.0]	-124.308925280113	Rejected due to high energy.
114	[72.0, -97.0, -37.0, -12.0]	-124.256973148643	Rejected due to high energy.
115	[10.0, 31.0, -131.0, -133.0]	-124.2256807704	Rejected due to high energy.
116	[-140.0, 159.0, 165.0, -42.0]		Rejected due to clashes.
117	[-112.0, 17.0, 172.0, -52.0]		Rejected due to clashes.
118	[-108.0, -55.0, 152.0, -12.0]		Rejected due to clashes.
119	[-124.0, -169.0, -89.0, 87.0]	-124.283084075961	Rejected due to high energy.
120	[37.0, -104.0, 41.0, -73.0]		Rejected due to clashes.
121	[33.0, -92.0, -169.0, -49.0]	-124.26496268904	Rejected due to high energy.
122	[151.0, 126.0, -173.0, -44.0]	-124.176324524635	Rejected due to high energy.
123	[160.0, 40.0, -72.0, -9.0]	-124.230332006958	Rejected due to high energy.
124	[-164.0, -9.0, 130.0, -130.0]	-124.236001731688	Rejected due to high energy.
125	[112.0, 179.0, 67.0, 152.0]		Rejected due to clashes.
126	[154.0, 46.0, -41.0, 172.0]		Rejected due to clashes.
127	[122.0, 62.0, -44.0, -34.0]	-123.97184997819	Rejected due to high energy.
128	[-168.0, -101.0, 126.0, -100.0]	-124.295970311128	Rejected due to high energy.
129	[165.0, 21.0, 14.0, 19.0]	-124.11314381058	Rejected due to high energy.
