fa_atr,fa_rep,fa_sol,fa_intra_atr_xover4,fa_intra_rep_xover4,fa_intra_sol_xover4,lk_ball,lk_ball_iso,lk_ball_bridge,lk_ball_bridge_uncpl,fa_elec,fa_intra_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,omega,fa_dun_dev,fa_dun_rot,fa_dun_semi,p_aa_pp,hxl_tors,ref,rama_prepro,total_score,all_cst,corrected_ddg,L_SASA,substrate_SASA,H2O_hbond,O2_hbond,oxy_hbond,cms,cms_per_atom,sc,nlr_dE,nlr_totrms,nlr_SR1_rms,nlr_SR2_rms,nlr_SR3_rms,score_per_res,description
-1468.595,226.072,1050.819,-88.926,76.706,64.117,636.765,1592.18,5.739,40.847,-494.741,-71.728,1.472,-131.483,-63.571,-33.491,-26.692,0.0,62.005,47.591,150.64,292.882,-106.036,40.601,-42.012,23.858,-779.133,1.194,-20.846,0.145,53.714,0.0,1.0,0.0,254.838,6.534,0.725,9.622,0.578,0.103,1.691,0.377,-3.055,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_0_0
-1465.206,227.583,1044.337,-89.825,79.81,64.775,637.558,1586.627,5.723,39.658,-495.582,-70.64,1.541,-129.41,-62.846,-31.005,-27.072,0.0,59.061,53.304,154.975,294.819,-105.692,37.611,-36.594,24.197,-761.309,1.807,-20.577,0.138,51.903,0.0,0.0,0.0,250.703,6.428,0.731,8.859,0.528,0.154,1.691,0.419,-2.986,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_0_1
-1469.408,230.062,1052.285,-88.639,77.757,64.293,638.56,1594.072,6.05,42.016,-500.473,-70.506,1.466,-131.079,-63.955,-31.256,-27.936,0.0,57.626,50.526,149.842,291.353,-106.687,42.748,-42.028,24.729,-778.011,2.164,-22.951,0.137,51.919,0.0,1.0,0.0,252.176,6.466,0.768,11.889,0.546,0.279,1.703,0.543,-3.051,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_0_2
-1475.536,229.051,1047.075,-89.53,78.526,64.25,636.372,1591.703,6.062,41.896,-501.83,-69.648,1.495,-130.865,-65.078,-31.124,-27.979,0.0,58.811,48.57,149.411,292.5,-107.193,40.425,-38.468,25.115,-791.87,3.2,-25.211,0.12,41.664,0.0,1.0,0.0,248.453,6.371,0.808,14.074,0.389,0.322,1.687,0.566,-3.105,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_0_3
-1472.235,221.694,1049.218,-89.676,83.355,62.602,634.866,1587.59,5.814,40.894,-500.252,-70.919,1.522,-132.437,-59.574,-33.722,-28.231,0.0,53.616,49.388,169.136,300.352,-102.738,46.504,-47.856,25.39,-768.863,2.323,-26.287,0.148,45.608,0.0,0.0,0.0,237.183,6.082,0.767,9.333,0.949,0.0,1.625,0.469,-3.015,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_0_4
-1479.326,226.007,1050.47,-88.208,82.007,61.577,639.011,1596.08,5.768,41.313,-502.296,-70.776,1.554,-131.591,-61.566,-33.365,-27.797,0.0,53.006,46.794,165.414,301.791,-101.256,43.589,-44.655,24.201,-777.576,1.725,-27.958,0.12,35.001,0.0,1.0,0.0,251.6,6.451,0.772,16.505,0.586,0.366,0.985,0.474,-3.049,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_0_5
-1477.198,219.794,1071.376,-88.73,76.605,64.502,652.075,1612.424,6.129,42.557,-513.191,-72.9,1.595,-130.542,-65.37,-29.724,-31.202,0.0,59.541,52.017,152.446,297.703,-106.734,40.052,-48.264,27.367,-783.942,0.676,-18.612,0.146,50.084,0.0,2.0,1.0,260.784,6.687,0.756,6.936,0.672,0.474,1.773,1.578,-3.074,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_0_6
-1468.709,216.105,1064.513,-89.144,77.762,64.693,645.533,1602.777,5.772,40.858,-507.755,-71.78,1.591,-131.189,-65.437,-27.835,-31.739,0.0,54.281,51.695,159.276,299.617,-100.392,40.183,-53.506,27.194,-775.807,0.679,-18.203,0.159,52.794,0.0,2.0,1.0,263.76,6.763,0.767,9.95,0.506,0.436,1.759,1.629,-3.042,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_0_7
-1479.885,219.881,1065.013,-89.521,79.539,64.962,641.175,1606.109,5.771,39.749,-508.834,-71.874,1.449,-131.24,-66.321,-33.682,-28.627,0.0,58.629,48.195,152.203,296.844,-101.538,38.022,-41.642,33.918,-788.969,0.483,-23.187,0.145,53.295,0.0,2.0,1.0,248.353,6.368,0.759,13.899,0.554,0.135,1.702,1.664,-3.094,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_0_8
-1472.994,219.306,1062.59,-89.414,78.554,64.754,640.448,1602.119,5.651,39.019,-505.428,-72.525,1.435,-131.169,-66.596,-31.237,-29.305,0.0,56.59,48.103,152.632,299.892,-99.885,37.983,-44.614,34.751,-779.954,0.605,-22.914,0.143,53.32,0.0,2.0,1.0,242.24,6.211,0.749,10.327,0.549,0.033,1.702,1.664,-3.059,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_0_9
